1         0.93    88.20
1         0.93    88.20  
2         0.86    87.14
3         0.83    89.55
4         0.96    91.67
5         0.94    91.65
6         0.82    89.67
7         0.96    89.91
8         0.95    89.97
9         0.90    90.02
10         1.00    91.47
11         0.92    92.53
12         0.93    91.54
13         0.89    89.98
14         0.93    90.41
15         0.96    89.50
16         0.92    91.50
17         0.84    89.44
18         0.84    90.08
19         0.87    89.16
20         1.12    89.27
21         0.95    90.25
22         0.88    91.82
23         1.06    92.56
24         0.86    90.42
25         0.96    90.68
26         0.87    88.29
27         0.98    90.96
28         0.88    91.28
29         0.93    86.54
30         0.92    90.49
31         0.84    90.82
32         0.97    90.51
33         0.97    90.00
34         0.85    90.76
35         0.89    90.75
36         0.84    91.37
37         0.75    91.10
38         0.72    90.83
39         0.97    89.34
40         1.00    88.72
41         0.96    87.10
42         0.86    91.48
43         0.91    90.67
44         0.88    92.60
45         0.80    88.76
46         0.93    90.82
47         0.93    87.25
48         0.98    88.40
49         0.91    87.92
50         0.94    89.69
51         0.94    90.37
52         0.85    88.44
53         1.05    91.01
54         0.94    89.47
55         0.85    88.84
56         0.77    90.50
57         0.84    89.33
58         0.85    92.88
59         0.87    89.64
60         0.76    90.27
61         0.93    89.96
62         0.81    89.15
63         0.95    89.51
64         0.90    90.60
65         0.97    91.43
66         0.96    89.67
67         0.97    91.21
68         1.02    89.27
69         1.00    93.47
70         1.00    90.24
71         0.99    90.96
72         0.90    89.06
73         0.85    90.70
74         0.89    90.31
75         0.98    90.30
76         0.84    91.05
77         0.82    90.71
78         1.10    89.70
79         0.92    88.75
80         0.95    89.03
81         0.90    91.58
82         0.87    89.80
83         0.89    89.03
84         0.97    87.13
85         0.93    89.75
86         0.96    89.55
87         0.87    88.32
88         1.05    91.03
89         1.01    91.10
90         0.84    89.03
91         0.94    89.53
92         0.66    91.17
93         0.76    89.85
94         0.78    92.02
95         0.81    88.68
96         0.94    90.19
97         0.84    88.08
98         0.95    89.10
99         0.90    90.65
100         0.99    89.90
101         0.95    89.65
102         0.91    91.59
103         0.92    87.99
104         0.76    90.89
105         0.88    88.96
106         0.91    89.71
107         1.14    90.31
108         0.80    90.75
109         0.99    89.19
110         0.95    93.83
111         0.90    89.28
112         0.83    88.72
113         0.92    88.33
114         0.87    88.32
115         0.89    89.15
116         0.85    88.95
117         0.69    90.07
118         0.94    90.55
119         0.68    88.58
120         0.75    89.91
121         0.76    92.78
122         0.82    86.07
123         0.73    89.85
124         1.00    88.96
125         0.99    87.98
126         0.94    90.19
127         0.89    90.68
128         0.97    90.45
129         0.87    91.85
130         0.87    87.65
131         0.91    91.65
132         0.75    91.52
133         0.86    93.27
134         0.91    91.43
135         0.93    89.92
136         0.92    88.04
137         0.87    90.06
138         1.00    90.73
139         0.64    90.14
140         0.86    88.72
141         0.81    89.99
142         0.83    89.77
143         0.86    87.99
144         0.91    87.78
145         0.90    89.89
146         1.05    89.35
147         0.77    91.79
148         0.86    87.87
149         0.88    92.75
150         0.78    89.62
151         0.99    91.83
152         0.98    90.73
153         0.76    91.09
154         0.82    89.87
155         0.95    90.27
156         0.90    90.62
157         0.78    87.52
158         0.81    89.73
159         0.85    89.06
160         0.93    88.64
161         0.92    90.81
162         0.78    90.95
163         0.89    89.49
164         0.97    88.97
165         0.90    89.61
166         0.83    87.64
167         0.92    90.51
168         0.96    90.75
169         0.82    91.12
170         0.84    87.98
171         0.79    92.47
172         0.89    88.80
173         0.86    89.39
174         0.95    88.52
175         0.75    90.36
176         0.88    90.04
177         0.98    89.75
178         0.97    92.39
179         0.92    88.57
180         0.90    89.65
181         0.78    88.37
182         0.91    88.22
183         0.78    90.14
184         0.85    89.17
185         0.88    89.12
186         0.93    89.41
187         0.88    90.77
188         0.94    91.18
189         0.88    90.06
190         0.99    90.91
191         1.05    88.35
192         0.88    89.00
193         1.05    90.03
194         0.76    87.75
195         0.97    91.26
196         0.94    87.78
197         0.99    93.56
198         0.88    90.11
199         0.96    89.90
200         0.95    91.13
201         0.73    90.26
202         0.94    90.15
203         0.90    88.88
204         0.87    89.11
205         0.88    87.88
206         0.96    87.59
207         0.82    91.56
208         0.79    90.89
209         0.96    91.60
210         1.00    88.18
211         0.84    89.07
212         0.88    88.20
213         0.76    90.87
214         0.93    88.17
215         0.87    89.82
216         0.93    91.26
217         0.92    89.89
218         0.82    90.22
219         0.83    91.16
220         0.93    88.48
221         0.79    88.96
222         0.93    90.13
223         0.88    87.85
224         0.94    89.53
225         0.76    85.80
226         1.04    90.34
227         0.85    93.39
228         0.83    89.28
229         0.91    89.81
230         0.93    91.39
231         0.93    86.49
232         0.84    91.56
233         0.82    90.00
234         0.91    88.26
235         0.94    91.94
236         0.88    87.14
237         0.97    87.26
238         0.70    88.43
239         0.71    90.05
240         0.92    88.19
241         0.93    89.00
242         0.81    89.60
243         0.83    90.44
244         0.90    89.58
245         0.83    91.53
246         0.78    90.43
247         1.00    89.58
248         0.84    89.87
249         1.05    90.92
250         0.90    90.83
251         0.91    91.33
252         1.04    89.13
253         0.75    89.32
254         1.04    88.40
255         1.01    93.45
256         0.76    90.40
257         0.98    91.60
258         0.94    85.70
259         0.88    87.93
260         0.96    89.19
261         0.90    93.56
262         0.81    93.24
263         0.99    89.50
264         0.95    87.27
265         0.92    89.81
266         0.89    90.07
267         1.04    89.09
268         0.88    90.32
269         0.73    89.03
270         0.91    89.39
271         0.96    91.58
272         0.79    89.16
273         0.93    88.88
274         1.00    90.34
275         1.00    89.00
276         0.96    91.91
277         0.99    90.10
278         0.89    92.06
279         0.83    90.50
280         0.96    91.41
281         1.03    89.44
282         1.02    90.84
283         0.85    92.84
284         0.69    92.36
285         0.94    88.61
286         0.90    93.69
287         0.91    90.12
288         0.94    90.24
289         0.80    90.24
290         0.96    91.43
291         0.91    91.21
292         0.87    89.68
293         0.90    90.64
294         0.88    89.56
295         1.11    89.40
296         0.95    88.73
297         0.97    89.27
298         0.78    92.15
299         1.02    89.63
300         1.01    88.83
301         0.93    90.35
302         0.82    91.29
303         0.99    89.43
304         0.94    90.80
305         0.84    89.31
306         0.89    92.68
307         0.81    89.78
308         0.94    91.41
309         1.00    89.35
310         1.00    90.05
311         0.79    92.93
312         0.88    89.42
313         0.91    90.27
314         0.85    90.56
315         0.90    89.30
316         0.84    89.86
317         0.93    89.52
318         0.97    89.68
319         0.89    89.46
320         0.93    86.25
321         0.89    90.65
322         0.92    90.52
323         0.98    89.32
324         1.03    91.22
325         0.75    88.48
326         0.78    89.34
327         0.81    90.56
328         0.86    89.75
329         0.87    92.67
330         0.97    92.35
331         0.92    90.17
332         0.81    91.24
333         0.91    89.16
334         0.97    89.39
335         0.97    88.91
336         0.93    91.41
337         0.77    91.39
338         0.98    88.76
339         1.00    92.91
340         0.99    90.44
341         0.83    91.20
342         0.89    89.23
343         1.02    89.92
344         0.93    88.89
345         0.96    90.22
346         0.77    90.64
347         0.83    88.22
348         0.96    90.12
349         0.89    91.12
350         0.87    90.82
351         0.87    88.38
352         0.85    89.23
353         0.85    88.92
354         0.86    88.14
355         0.87    89.35
356         0.93    91.90
357         0.81    89.01
358         0.84    90.41
359         0.93    89.04
360         0.97    93.49
361         0.84    90.29
362         0.83    89.02
363         0.81    89.03
364         0.93    90.93
365         0.89    87.92
366         0.97    90.56
367         0.92    89.70
368         0.84    90.04
369         0.99    89.01
370         0.90    90.71
371         0.95    90.91
372         1.04    88.54
373         0.89    91.75
374         0.94    88.04
375         0.84    90.12
376         1.02    91.94
377         0.74    91.65
378         0.92    90.33
379         0.79    91.40
380         1.09    90.32
381         1.08    88.69
382         0.92    90.62
383         0.92    91.38
384         0.80    92.43
385         0.88    90.75
386         0.82    90.78
387         0.97    89.46
388         0.96    91.50
389         1.00    90.96
390         0.77    91.36
391         0.91    89.99
392         0.91    88.79
393         1.16    89.13
394         0.75    87.28
395         0.83    89.33
396         0.87    90.62
397         1.00    91.24
398         0.97    88.88
399         0.84    91.93
400         0.87    89.71
401         0.93    88.32
402         0.81    88.46
403         0.83    88.39
404         0.99    89.25
405         0.96    87.17
406         0.86    89.96
407         0.94    88.06
408         0.95    89.77
409         1.03    89.02
410         0.87    89.62
411         0.91    92.12
412         1.04    86.06
413         0.83    90.34
414         0.86    91.00
415         0.90    90.33
416         0.83    89.61
417         0.92    89.86
418         0.74    90.67
419         0.98    89.03
420         0.94    90.88
421         0.84    89.03
422         0.95    90.62
423         0.97    89.92
424         0.92    91.31
425         1.08    90.56
426         0.78    92.59
427         0.92    91.69
428         0.93    87.98
429         1.05    90.06
430         0.73    90.05
431         0.93    90.61
432         0.82    91.43
433         0.94    91.94
434         0.85    92.35
435         0.92    88.96
436         0.77    91.66
437         0.94    91.59
438         0.92    86.87
439         0.81    86.36
440         0.97    89.73
441         0.94    90.53
442         0.97    92.65
443         1.03    90.72
444         0.96    91.54
445         0.81    86.95
446         1.02    90.93
447         0.95    89.44
448         0.92    89.54
449         0.88    89.62
450         0.98    90.12
451         0.81    91.14
452         0.96    90.48
453         0.80    91.15
454         1.06    90.74
455         0.75    90.46
456         0.97    87.28
457         0.84    92.63
458         0.76    92.02
459         0.87    88.45
460         0.83    88.72
461         0.91    91.54
462         0.83    93.25
463         0.89    90.52
464         1.00    90.51
465         0.92    89.17
466         0.94    92.81
467         0.86    89.05
468         0.82    89.70
469         0.97    90.72
470         0.97    89.59
471         1.10    88.52
472         0.95    89.23
473         0.91    91.58
474         0.84    91.82
475         0.86    90.25
476         0.87    89.08
477         0.94    90.12
478         1.06    90.21
479         1.03    89.48
480         1.03    88.08
481         0.78    88.46
482         0.90    89.12
483         0.96    90.29
484         1.10    89.67
485         0.94    87.72
486         1.11    92.11
487         0.90    91.27
488         0.85    89.55
489         0.93    91.12
490         0.95    89.50
491         1.03    91.95
492         0.89    90.17
493         0.86    89.60
494         0.96    88.90
495         0.91    90.78
496         1.03    88.16
497         0.98    90.85
498         0.89    90.19
499         0.95    89.40
500         1.01    88.88
501         0.98    89.88
502         0.85    89.25
503         0.89    88.26
504         0.95    89.14
505         0.89    90.01
506         0.86    88.09
507         0.87    89.06
508         0.86    86.44
509         0.89    91.59
510         1.01    91.19
511         0.92    89.81
512         0.99    90.92
513         1.03    93.64
514         0.94    92.23
515         0.87    92.00
516         0.93    86.96
517         0.82    89.21
518         0.84    90.67
519         1.02    89.63
520         0.96    89.85
521         0.92    89.06
522         1.00    93.26
523         0.66    86.79
524         1.03    89.25
525         1.13    90.04
526         0.95    88.32
527         0.88    89.31
528         0.88    89.93
529         0.83    87.83
530         0.87    89.92
531         1.02    88.05
532         0.90    86.54
533         1.01    90.41
534         0.88    92.99
535         0.90    90.22
536         0.94    91.50
537         0.83    90.49
538         0.85    92.02
539         1.01    89.07
540         0.89    91.65
541         0.79    90.25
542         0.90    90.58
543         0.90    92.29
544         0.85    90.89
545         0.80    90.35
546         0.87    89.24
547         0.85    90.43
548         0.92    90.98
549         0.84    91.08
550         0.78    89.62
551         1.03    88.65
552         0.95    90.19
553         0.94    88.48
554         1.03    87.72
555         0.96    90.87
556         1.03    88.25
557         0.94    91.00
558         0.91    90.08
559         0.97    88.11
560         0.89    89.68
561         0.86    89.60
562         0.95    91.75
563         0.99    93.53
564         0.98    91.20
565         0.84    90.51
566         0.88    88.17
567         0.94    90.14
568         0.95    90.05
569         0.88    90.97
570         0.96    93.02
571         0.97    89.37
572         0.81    89.99
573         0.97    92.53
574         0.76    89.09
575         0.87    92.02
576         0.70    89.55
577         0.93    94.09
578         0.87    91.50
579         0.97    88.50
580         0.80    90.10
581         0.77    90.51
582         0.97    90.30
583         0.86    92.29
584         0.98    92.03
585         0.92    88.82
586         0.80    92.08
587         0.87    88.82
588         0.82    89.40
589         0.92    93.54
590         0.80    91.80
591         0.90    89.60
592         0.91    92.41
593         0.95    87.67
594         0.91    85.93
595         0.88    91.88
596         0.91    92.36
597         0.96    89.19
598         0.91    90.71
599         0.93    93.33
600         0.88    90.38
601         0.93    90.96
602         0.90    88.76
603         0.74    88.00
604         0.81    87.82
605         0.94    86.56
606         0.95    90.23
607         0.97    93.79
608         0.97    88.59
609         0.91    90.38
610         0.81    92.27
611         0.91    89.49
612         0.89    88.53
613         0.78    89.88
614         1.01    90.21
615         0.91    89.95
616         0.87    89.08
617         0.90    90.63
618         0.96    87.41
619         0.92    90.53
620         0.84    90.67
621         0.92    93.37
622         0.86    90.36
623         0.83    92.51
624         0.89    88.03
625         0.98    91.40
626         0.99    90.19
627         1.01    89.17
628         0.88    89.36
629         0.89    89.62
630         0.91    88.06
631         0.95    91.83
632         0.87    90.75
633         0.87    90.35
634         0.96    87.39
635         0.84    91.05
636         0.94    88.22
637         0.76    89.07
638         0.95    89.28
639         0.88    88.09
640         0.88    89.97
641         0.86    95.95
642         0.97    90.64
643         0.85    90.97
644         0.94    90.05
645         0.90    89.74
646         0.92    91.22
647         0.82    88.28
648         0.98    88.64
649         0.83    89.43
650         0.99    90.12
651         0.75    91.43
652         0.81    90.97
653         0.98    88.58
654         0.87    90.44
655         0.74    91.68
656         0.93    91.14
657         0.96    86.17
658         0.94    90.73
659         0.96    90.84
660         0.82    90.50
661         0.84    89.28
662         0.84    93.55
663         0.91    90.81
664         0.80    87.26
665         0.85    91.94
666         1.06    88.82
667         0.88    92.09
668         0.99    90.27
669         1.00    87.91
670         0.94    93.54
671         0.95    90.03
672         0.93    89.22
673         0.88    86.99
674         0.95    88.17
675         0.74    91.22
676         1.07    87.11
677         0.94    90.70
678         0.89    91.40
679         1.05    89.25
680         0.90    89.73
681         0.91    90.63
682         0.74    89.80
